droplet_id,volume,mass,ux,uy,uz,vx,vy,vz
577,3.123294e-18,3.113924e-15,1.664069e-04,-6.971531e-06,5.329143e-04,9.433058e-02,-4.967504e-01,6.042715e+00
583,3.641701e-18,3.630776e-15,1.046873e-04,1.483998e-05,4.898697e-04,7.460283e-02,-2.112119e-01,6.365611e+00
589,3.386111e-18,3.375953e-15,1.546930e-04,1.249639e-05,5.107334e-04,-5.373604e-01,3.149219e-01,4.449963e+00
595,2.509654e-17,2.502125e-14,1.412463e-04,-1.092778e-05,4.872338e-04,-1.840334e+00,2.417797e+00,7.236854e+00
601,1.618812e-17,1.613955e-14,1.566065e-04,-3.050533e-06,5.103764e-04,-9.787357e-01,-1.086812e+00,3.152362e+00
607,2.807158e-17,2.798737e-14,1.664017e-04,1.093390e-05,5.351878e-04,-1.558230e+00,-5.000839e-01,6.767843e+00
613,2.703197e-17,2.695088e-14,1.199124e-04,1.504098e-05,4.940762e-04,-6.438760e-01,3.256932e-01,1.606944e+01
619,2.478472e-17,2.471036e-14,1.515840e-04,3.387023e-06,5.122409e-04,1.787958e+00,1.412608e+00,2.311538e+00
625,2.495701e-17,2.488214e-14,1.637663e-04,7.730505e-06,5.246788e-04,-2.588889e+00,-1.014288e+00,6.899377e+00
631,4.452254e-17,4.438897e-14,1.294630e-04,-4.258453e-06,4.847738e-04,1.159825e+00,-2.164070e-01,2.534617e+00
637,1.171726e-18,1.168211e-15,1.343619e-04,-7.696590e-07,4.948899e-04,-1.558767e-01,1.802694e-01,3.765931e+00
643,2.634199e-18,2.626296e-15,1.710931e-04,-1.407688e-05,5.280482e-04,6.448430e-02,-1.152524e-01,5.147741e+00
649,3.908786e-18,3.897060e-15,1.273685e-04,2.456099e-05,4.916358e-04,1.109374e-02,4.019634e-02,2.293757e+00
655,3.549347e-18,3.538699e-15,1.547024e-04,1.485778e-05,5.061719e-04,5.612298e-01,9.930489e-01,4.790070e+00
661,2.687703e-17,2.679639e-14,1.483820e-04,8.676982e-06,5.038377e-04,6.722803e-02,-1.359602e+00,8.242482e+00
667,2.408385e-19,2.401160e-16,1.519543e-04,-1.523745e-05,4.847986e-04,-4.052696e-01,-1.231829e-02,-2.052736e+00
673,1.090471e-18,1.087199e-15,1.371092e-04,-1.736259e-05,4.814524e-04,3.349704e-01,9.903666e-01,7.764356e+00
679,4.553345e-17,4.539685e-14,1.679767e-04,-7.460015e-06,5.187792e-04,-2.935675e-01,-2.482455e+00,1.140239e+01
685,4.608651e-18,4.594825e-15,1.679659e-04,-2.340416e-06,5.239899e-04,-6.565638e-02,-1.100359e-01,9.302386e+00
691,4.988137e-18,4.973173e-15,1.201677e-04,1.171528e-05,4.922303e-04,5.893202e-02,3.326123e-01,3.145360e+00
697,4.954940e-19,4.940075e-16,1.289125e-04,1.289281e-05,4.964910e-04,-3.067419e-01,-1.132673e-01,2.257051e+00
703,2.616069e-17,2.608221e-14,1.223076e-04,7.419235e-06,4.913768e-04,4.307354e-01,-4.210967e-01,2.628701e+00
709,1.649405e-17,1.644456e-14,1.366903e-04,2.225831e-06,4.931520e-04,-4.025952e-02,-1.829213e+00,2.730909e+00
715,2.429114e-18,2.421827e-15,1.437461e-04,3.122142e-06,5.045235e-04,1.392900e-01,4.485587e-02,1.400113e+00
721,7.294633e-18,7.272749e-15,1.808938e-04,2.346679e-06,5.396351e-04,-4.256609e-01,1.637200e-02,8.129154e+00
727,5.869081e-18,5.851473e-15,1.421946e-04,2.435525e-05,4.928324e-04,-1.020963e-02,1.268954e-01,2.233674e+00
733,2.298946e-18,2.292049e-15,1.491612e-04,1.634032e-05,4.985663e-04,1.145799e+00,3.044513e-01,1.150987e+00
739,2.925198e-17,2.916423e-14,1.584064e-04,1.000802e-05,5.086788e-04,7.372010e-01,-4.548039e-02,1.827534e+01
745,7.802921e-18,7.779512e-15,1.609479e-04,1.640944e-05,5.178790e-04,-1.532478e-02,-4.566616e-01,3.889125e+00
751,2.594427e-18,2.586644e-15,1.031163e-04,-5.464772e-06,4.812299e-04,1.205848e-02,-5.499379e-01,3.630062e+00
757,2.615209e-19,2.607363e-16,1.417966e-04,-1.171657e-06,4.972247e-04,-2.132957e-01,4.520978e-01,6.068956e+00
763,5.755801e-17,5.738534e-14,1.722207e-04,-1.209481e-05,5.025533e-04,1.910064e+00,-9.284701e-02,4.411197e+00
769,1.364805e-17,1.360710e-14,1.690721e-04,-2.176711e-05,4.908364e-04,-3.668655e-01,-2.462217e+00,7.805781e+00
775,5.128373e-19,5.112988e-16,1.628906e-04,-1.562092e-05,4.910445e-04,4.222707e-01,1.000482e-01,6.802195e+00
781,1.827836e-17,1.822352e-14,1.509075e-04,-1.709289e-06,4.946854e-04,5.340733e-01,-2.214144e+00,9.548264e+00
787,2.045104e-17,2.038968e-14,1.513627e-04,-3.523514e-06,4.897756e-04,-9.681479e-02,1.176768e+00,7.689264e+00
793,2.863316e-18,2.854726e-15,1.492514e-04,-4.690319e-06,4.859762e-04,7.058005e-01,-3.397438e-01,8.790740e+00
799,3.019872e-18,3.010812e-15,1.609367e-04,-4.688040e-06,4.991631e-04,-3.168199e-02,2.790116e-03,1.991598e+00
805,2.437176e-17,2.429864e-14,1.335518e-04,1.231102e-05,4.912347e-04,-6.130712e-02,-1.405588e-01,8.925005e+00
811,2.573886e-17,2.566164e-14,1.273819e-04,9.852404e-06,4.910060e-04,-1.115978e-01,-6.093839e-01,6.600990e+00
817,4.833767e-18,4.819266e-15,1.343706e-04,-8.219478e-07,4.908364e-04,-7.710478e-02,-1.140580e-02,2.975745e+00
823,2.926243e-18,2.917464e-15,1.788366e-04,1.562514e-05,5.407451e-04,9.743475e-02,4.743897e-02,4.267126e+00
829,9.303486e-18,9.275576e-15,1.867117e-04,3.161723e-06,5.481550e-04,7.253914e-02,1.025443e-01,1.421708e+01
835,3.582450e-17,3.571703e-14,1.893278e-04,-1.872014e-05,5.389735e-04,1.107552e-02,-8.582045e-01,1.128870e+01
841,2.290312e-18,2.283441e-15,1.765650e-04,-1.016499e-05,5.316488e-04,-3.370371e-02,6.173110e-02,4.141349e+00
847,1.607314e-17,1.602492e-14,1.434881e-04,1.301388e-05,4.927718e-04,5.298972e-01,-2.271365e-01,2.472346e+00
853,1.781922e-17,1.776576e-14,1.398243e-04,2.017423e-05,4.884723e-04,6.171510e-02,-2.702738e-01,6.591027e+00
859,1.175672e-17,1.172145e-14,1.691490e-04,1.825493e-05,5.143153e-04,-5.821708e-01,3.763229e-02,4.453823e+00
865,4.509346e-18,4.495818e-15,1.578111e-04,4.691159e-06,5.066040e-04,-3.459024e-02,6.319204e-02,7.268963e-01
871,3.341612e-18,3.331587e-15,1.546914e-04,-2.350506e-06,4.937115e-04,-4.255991e-02,2.625103e-01,-1.104222e+00
877,9.083567e-18,9.056316e-15,1.792086e-04,-1.476279e-05,5.201881e-04,-2.275094e+00,-8.458897e-01,8.011992e+00
883,4.610310e-17,4.596479e-14,1.672760e-04,2.787889e-06,5.161616e-04,-1.380441e+00,-3.846588e-01,4.965262e+00
889,2.515558e-18,2.508011e-15,1.148480e-04,8.588676e-06,4.914256e-04,5.623034e-01,2.492041e-01,6.255983e+00
895,2.848162e-18,2.839618e-15,1.390463e-04,7.814229e-06,4.921201e-04,-1.075150e+00,4.148678e-02,4.572159e+00
901,1.740623e-17,1.735401e-14,1.288277e-04,6.840113e-06,4.859909e-04,-1.307064e-01,-1.127356e-02,7.571037e+00
907,1.507979e-17,1.503455e-14,1.793000e-04,-9.621390e-06,5.271622e-04,-2.716520e-01,8.039129e-01,6.611256e+00
913,5.645133e-19,5.628198e-16,1.046999e-04,1.445325e-05,4.754349e-04,1.755200e-02,-2.330421e-01,-9.159568e-01
919,1.868514e-18,1.862908e-15,1.085617e-04,2.192244e-06,4.858016e-04,4.827452e-01,-1.490703e-01,4.990441e-01
925,3.729923e-17,3.718733e-14,1.681918e-04,1.757850e-05,5.285657e-04,8.189284e-01,-2.409081e-01,9.686436e+00
931,4.538190e-17,4.524576e-14,1.675393e-04,2.017509e-05,5.327042e-04,-1.874815e+00,-2.710557e-01,2.257906e+00
937,1.348487e-18,1.344441e-15,1.703019e-04,1.716968e-05,5.081007e-04,-1.547948e-01,-2.505661e-01,4.523135e+00
943,4.521969e-18,4.508403e-15,1.710879e-04,-1.406734e-05,5.119859e-04,-2.195797e-01,-3.685284e-01,3.452254e+00
949,3.136610e-17,3.127200e-14,1.784027e-04,-1.596802e-05,4.990932e-04,-2.514618e-02,1.239475e-01,7.652487e+00
955,3.512671e-18,3.502133e-15,1.679666e-04,-3.670125e-06,5.092909e-04,4.112776e-02,-1.533840e+00,8.669636e+00
961,3.211095e-18,3.201462e-15,1.703450e-04,-1.871766e-05,4.875596e-04,9.694319e-01,4.754088e-01,1.032587e+01
967,3.103088e-18,3.093779e-15,1.711072e-04,-1.406254e-05,4.906182e-04,-3.414528e-01,1.489492e-01,1.269370e+00
973,9.280675e-19,9.252833e-16,1.431173e-04,-1.030447e-05,4.801127e-04,-2.217742e+00,2.679668e+00,7.386734e+00
979,1.234241e-18,1.230538e-15,1.461288e-04,-7.813917e-06,4.793332e-04,9.439560e-01,-6.599035e-01,1.892702e+00
985,8.263556e-19,8.238766e-16,1.446797e-04,-2.207979e-06,4.933381e-04,6.045027e-01,1.379573e-01,4.514466e+00
991,1.525867e-18,1.521289e-15,1.352278e-04,-7.132588e-06,4.817949e-04,-7.107293e-01,4.784828e-02,-3.371013e-01
997,8.763141e-19,8.736851e-16,1.175781e-04,3.908785e-07,4.816079e-04,1.823710e+00,4.883347e-01,8.982162e+00
1003,3.125820e-18,3.116443e-15,1.132848e-04,2.460954e-05,4.809711e-04,-9.245051e-02,5.915659e-02,3.315579e+00
1009,7.253196e-19,7.231436e-16,1.097655e-04,8.985687e-06,4.852089e-04,1.448411e+00,-8.556664e-02,4.141817e+00
1015,3.383700e-18,3.373549e-15,1.632809e-04,-1.563378e-06,4.968315e-04,8.633432e-02,1.613884e-01,3.170025e+00
1021,3.059428e-18,3.050250e-15,1.554623e-04,-7.813695e-06,4.836084e-04,7.670895e-01,2.618279e-01,-2.205978e+00
1027,3.282379e-18,3.272532e-15,1.414186e-04,-6.238313e-06,4.843736e-04,-2.693097e-01,2.348879e+00,4.734425e+00
1033,2.648569e-18,2.640623e-15,1.609362e-04,-4.688070e-06,4.929422e-04,-5.344176e-02,-2.763272e-03,5.225716e+00
1039,5.394977e-18,5.378792e-15,1.343554e-04,-7.918614e-07,4.854840e-04,3.320486e-02,-5.587028e-02,1.329689e+00
1045,1.020963e-18,1.017900e-15,1.183594e-04,5.778009e-07,4.791362e-04,2.742342e+00,1.046881e+00,5.250023e+00
1051,3.796072e-17,3.784684e-14,1.155425e-04,3.814935e-06,4.836204e-04,-3.752680e+00,-1.500419e+00,7.091939e+00
1057,6.079053e-19,6.060816e-16,1.160156e-04,-2.734348e-06,4.774296e-04,-1.137054e-01,2.791517e+00,3.286652e+00
1063,4.958874e-17,4.943997e-14,1.831612e-04,1.076891e-05,5.349776e-04,-1.075156e+00,-3.146560e-01,8.439862e+00
